Year,Access_Electricity,Agriculture_GDP,Battle_Deaths,CO2_Emissions,Education_Expenditure,Exports_GDP,FDI_Inflows_GDP,GDP_Growth,GDP_USD,Health_Expenditure,Imports_GDP,Industry_GDP,Inflation,Internet_Usage,Life_Expectancy,Manufacturing_GDP,Mobile_Subscriptions,Oil_Rents,Population,Population_Growth,Services_GDP,Unemployment,Trade_Balance_GDP,Trade_Openness,Industry_Non_Mfg_GDP,GDP_Growth_Lag1,Inflation_Lag1,Oil_Rents_Lag1,GDP_Growth_Roll3,Inflation_Roll3,Log_GDP_USD,Log_Population,Log_CO2_Emissions
1978-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,25.53583672,0.512629547,9.214835701,26364491313.0,3.48903275,40.16873217,44.239049,17.52392345,0.0,50.353,34.47905286,0.0,20.12033262,17632645.0,2.867601425,38.97849977,20.6,-14.63289545,65.70456888999999,9.759996139999998,5.258585986,11.98928332,23.16413925,7.6200593903333305,12.981314057333336,23.99528391575447,16.68526262819466,11.049903804952143
1979-01-01,98.64002991,11.10697987,34.0,62936.9,7.182010174,31.14830021,0.077285262,7.477826551,33243706860.0,3.48903275,32.86574908,44.239049,11.34860051,0.0,51.755,34.47905286,0.0,36.9394488,18166981.0,2.985370209,38.97849977,20.6,-1.717448870000002,64.01404929,9.759996139999998,9.214835701,17.52392345,20.12033262,7.317082745999997,13.62060242666667,24.227131318796605,16.715116328612883,11.049903804952143
1980-01-01,98.64002991,11.10697987,34.0,62936.9,6.597420216,34.33846147,0.823384606,0.790606972,42345829079.0,3.48903275,30.33846169,44.239049,9.517824498,0.0,53.261,34.47905286,0.0,30.41696677,18739378.0,3.102136962,38.97849977,20.6,3.9999997799999996,64.67692316,9.759996139999998,7.477826551,11.34860051,36.9394488,5.827756407999996,12.796782819333336,24.4691357662994,16.746137696552058,11.049903804952143
1981-01-01,98.64002991,11.10697987,34.0,62936.9,6.516691634,34.58725077,0.029780562,2.999996088,44348590461.0,3.48903275,30.87774286,44.239049,14.65484264,0.0,55.276,34.47905286,0.0,24.51404166,19351357.0,3.213546099,38.97849977,20.6,3.7095079099999957,65.46499363,9.759996139999998,0.790606972,9.517824498,30.41696677,3.7561432036666638,11.840422549333333,24.515346763054886,16.778273155856056,11.049903804952143
1982-01-01,98.64002991,11.10697987,34.0,62936.9,6.435963052,30.92485632,-0.118497123,6.400004115,45207167470.0,3.48903275,28.99807495,44.239049,6.54250963,0.0,57.428,34.47905286,0.0,18.334834,20000096.0,3.297452733,38.97849977,20.6,1.9267813700000005,59.92293127,9.759996139999998,2.999996088,14.65484264,24.51404166,3.3968690583333303,10.238392256,24.534521483580583,16.811247681506504,11.049903804952143
1983-01-01,98.64002991,11.10697987,34.0,62936.9,6.35523447,27.94180611,0.000855798,5.400003025,48801369800.0,3.48903275,25.80231124,44.239049,5.96716393,0.0,59.51,34.47905286,0.0,16.53575127,20682111.0,3.353205019,38.97849977,20.6,2.13949487,53.74411735,9.759996139999998,6.400004115,6.54250963,18.334834,4.93333440933333,9.054838733333334,24.611024219104188,16.844779730049403,11.049903804952143
1984-01-01,98.64002991,11.10697987,34.0,62936.9,6.274505888,25.71001618,0.001494768,5.599996529,53698548293.0,3.48903275,27.46636751,44.239049,8.116397955,0.0,61.658,34.47905286,0.0,15.44905123,21393530.0,3.381941613,38.97849977,20.6,-1.756351330000001,53.17638369,9.759996139999998,5.400003025,5.96716393,16.53575127,5.800001222999998,6.875357171666667,24.70665180446453,16.878599144573705,11.049903804952143
1985-01-01,98.64002991,11.10697987,34.0,62936.9,6.193777305999999,23.58393289,0.000686577,3.699997255,57937868670.0,3.48903275,26.74218774,44.239049,10.48228704,0.0,63.588,34.47905286,0.0,14.28277952,22132905.0,3.397687535,38.97849977,20.6,-3.1582548499999987,50.32612063,9.759996139999998,5.599996529,8.116397955,15.44905123,4.89999893633333,8.188616308333332,24.782637043505744,16.91257601836325,11.049903804952143
1986-01-01,98.64002991,11.10697987,34.0,62936.9,6.113048724,12.85475734,0.008347246,0.400001003,63692007897.0,3.48903275,23.17195323,44.239049,12.37160917,0.0,65.159,34.47905286,0.0,5.870285404,22882553.0,3.330932724,38.97849977,20.6,-10.317195889999999,36.02671057,9.759996139999998,3.699997255,10.48228704,14.28277952,3.2333315956666637,10.323431388333333,24.877324926943597,16.945885344120292,11.049903804952143
1987-01-01,98.64002991,11.10697987,34.0,62936.9,6.032320142,14.27247473,0.005560705,-0.699997526,66745818375.0,3.48903275,18.41210974,44.239049,7.441260913,0.0,65.83,34.47905286,0.0,8.533187249,23586101.0,3.028285541,38.97849977,20.6,-4.1396350099999975,32.68458447,9.759996139999998,0.400001003,12.37160917,5.870285404,1.1333335773333304,10.098385707666665,24.92415748621199,16.97616819822204,11.049903804952143
1988-01-01,98.64002991,11.10697987,34.0,62936.9,5.95159156,15.50786788,0.022031474,-1.000005491,59089396860.0,3.48903275,22.6037194,44.239049,5.911544964,0.0,66.971,34.47905286,0.0,8.00223017,24243018.0,2.747106054,38.97849977,20.6,-7.09585152,38.111587279999995,9.759996139999998,-0.699997526,7.441260913,8.533187249,-0.4333340046666696,8.574805015666668,24.802317335127178,17.003639257614772,11.049903804952143
1989-01-01,98.64002991,11.10697987,34.0,62936.9,5.870862978,18.63926334,0.021733994,4.400002161,55634721573.0,3.48903275,28.51405637,44.239049,9.304361258,0.0,67.085,34.47905286,0.0,12.56891483,24889507.0,2.631765063,38.97849977,20.6,-9.87479303,47.15331971,9.759996139999998,-1.000005491,5.911544964,8.00223017,0.8999997146666635,7.552389045000001,24.742073332032003,17.029956907173716,11.049903804952143
1990-01-01,98.64002991,11.10697987,34.0,62936.9,5.790134396,23.44368508,0.000539762,0.80000058,62048507531.0,3.48903275,24.9370286,44.239049,16.65253439,0.0,67.416,34.47905286,0.001841832,15.79697334,25518074.0,2.494067638,38.97849977,20.6,-1.4933435199999998,48.38071368,9.759996139999998,4.400002161,9.304361258,12.56891483,1.39999908333333,10.622813537333334,24.85118229564055,17.054897582561317,11.049903804952143
